,true_labels,predicted_labels
49935,2,0
71684,7,1
69606,6,1
105408,18,1
120985,27,0
93599,13,0
8525,0,0
4472,0,0
33964,1,0
38849,1,1
112922,21,0
14185,0,0
78447,8,0
9991,0,0
121140,27,0
12742,0,0
6552,0,0
91739,12,0
36234,1,1
66832,5,1
77617,8,0
59073,4,0
49450,2,0
49551,2,0
114583,22,1
10890,0,0
94137,13,0
51019,2,0
41383,1,1
104210,17,0
52304,2,2
122726,28,0
93577,13,1
64620,5,0
114142,22,1
9518,0,0
10825,0,0
88392,11,0
105578,18,1
55738,3,1
12804,0,0
113919,22,0
10912,0,0
35926,1,1
73712,7,0
92824,13,0
99465,15,0
14224,0,0
65127,5,5
59128,4,0
102319,17,0
97121,15,0
100671,16,0
105189,18,0
110228,20,0
82577,10,0
103034,17,0
23817,0,0
28710,0,0
39693,1,1
22422,0,0
57507,3,0
64271,5,0
51228,2,0
81248,9,0
10064,0,0
46719,1,0
79705,9,0
29525,0,0
8875,0,0
108692,19,0
83451,10,1
95580,14,0
54172,3,0
8760,0,0
93514,13,0
76800,8,0
85881,10,1
83209,10,0
20362,0,0
2893,0,0
103735,17,0
8703,0,0
99903,16,0
550,0,0
5059,0,0
6184,0,0
21138,0,0
28078,0,0
101421,16,0
78392,8,0
80962,9,0
67972,6,0
36990,1,1
55053,3,0
43029,1,0
21142,0,0
8286,0,0
73395,7,1
4906,0,0
81819,9,0
86212,11,0
112179,21,0
69175,6,0
123918,29,0
86960,11,0
69553,6,0
97234,15,0
83929,10,0
3509,0,0
3923,0,0
8917,0,0
17444,0,0
55216,3,1
19915,0,0
110619,20,1
18159,0,0
5979,0,0
52456,2,2
61214,4,0
58463,3,0
84969,10,0
2037,0,0
50410,2,2
39780,1,0
109719,20,0
81510,9,0
40930,1,0
19957,0,0
93241,13,0
118300,25,0
108555,19,0
100238,16,0
75941,8,0
99039,15,0
22192,0,0
88923,11,0
97067,15,0
52583,2,0
96358,14,0
81373,9,0
33347,1,0
77689,8,1
18321,0,0
77507,8,0
25543,0,0
7863,0,0
78925,9,0
90796,12,0
92517,13,0
7132,0,0
123177,29,1
84206,10,0
82878,10,0
17613,0,0
57341,3,0
106222,18,0
42263,1,0
121287,27,0
87334,11,0
25689,0,0
117741,24,0
52315,2,0
103541,17,0
5884,0,0
82376,9,0
11168,0,0
31467,0,0
106330,18,1
113142,21,0
95034,14,0
101571,16,0
91397,12,0
90929,12,0
66694,5,0
29170,0,0
7168,0,0
114888,22,1
122204,28,0
3733,0,0
57892,3,1
90044,12,0
29626,0,0
94532,14,0
20717,0,0
101836,16,0
108270,19,0
68583,6,0
118284,25,0
15663,0,0
113625,22,0
108387,19,0
62764,4,0
44422,1,1
78400,8,0
114984,23,0
81794,9,0
61043,4,0
16598,0,0
118419,25,1
24147,0,0
40386,1,0
10644,0,0
33168,1,1
378,0,0
61183,4,0
28072,0,0
18881,0,0
87147,11,0
40997,1,0
41390,1,1
57319,3,0
6848,0,0
61688,4,0
120672,27,0
970,0,0
36298,1,1
93212,13,1
8350,0,0
14657,0,0
58733,4,0
56897,3,0
33222,1,1
3903,0,0
113818,22,0
28406,0,0
2040,0,0
96508,14,0
75844,8,0
121175,27,0
68287,6,0
81194,9,0
29246,0,0
92232,13,0
69629,6,1
57156,3,0
76410,8,0
2029,0,0
69293,6,0
113897,22,0
23850,0,0
23623,0,0
87257,11,0
20248,0,0
91089,12,0
34194,1,0
38974,1,1
14843,0,0
55497,3,0
48549,2,0
46704,1,1
15435,0,0
109889,20,0
57831,3,0
39930,1,0
107713,19,0
16133,0,0
60812,4,0
41422,1,1
28951,0,0
103213,17,0
19626,0,0
45690,1,1
16680,0,0
47134,2,1
119930,26,0
122492,28,0
6448,0,0
112981,21,21
4790,0,0
50347,2,0
33018,1,1
68123,6,1
77825,8,0
103840,17,2
58356,3,0
72895,7,0
55887,3,0
60017,4,0
107993,19,0
107768,19,0
65530,5,1
11987,0,0
28864,0,0
101107,16,0
88781,11,0
112344,21,0
73441,7,0
82252,9,0
120466,26,0
59769,4,0
59958,4,0
39554,1,0
18154,0,0
56771,3,0
71098,7,0
111189,20,0
74521,7,0
6098,0,0
109841,20,1
109862,20,0
2110,0,0
35264,1,1
85458,10,0
34661,1,1
120139,26,0
43104,1,1
52240,2,2
8617,0,0
101750,16,0
58189,3,0
55513,3,1
93341,13,0
75779,8,0
53286,2,0
64909,5,0
47081,2,0
28344,0,0
60749,4,0
64526,5,0
121586,27,0
110375,20,0
21507,0,0
33286,1,1
83157,10,0
70715,6,1
55449,3,0
25763,0,0
115117,23,0
17372,0,0
18158,0,0
77987,8,0
13239,0,0
69018,6,0
39521,1,1
117132,24,0
116597,24,0
37750,1,1
119911,26,0
71307,7,1
32018,0,0
47831,2,0
120004,26,0
62407,4,0
96132,14,0
113911,22,1
5178,0,0
84252,10,1
32231,0,0
105893,18,0
317,0,0
124830,30,0
59406,4,0
7266,0,0
105027,18,1
72601,7,0
77693,8,0
87174,11,0
15842,0,0
90076,12,0
94104,13,1
112133,21,0
14221,0,0
40690,1,1
71027,6,0
95444,14,0
87523,11,0
8880,0,0
49136,2,0
24353,0,0
95216,14,0
9456,0,0
49913,2,0
14149,0,0
44575,1,1
86342,11,0
45476,1,1
98995,15,0
37616,1,1
113216,21,0
112251,21,2
34013,1,2
110294,20,0
14747,0,0
65099,5,0
14321,0,0
65187,5,0
97758,15,0
54119,3,0
78079,8,0
118114,25,0
102104,16,0
34616,1,1
29624,0,0
32594,0,0
76318,8,1
101443,16,0
102786,17,17
80881,9,0
8309,0,0
118290,25,0
51737,2,0
61460,4,0
84527,10,0
51378,2,0
100146,16,0
108985,19,0
56409,3,1
109962,20,0
33213,1,1
101508,16,0
96764,14,0
856,0,0
90965,12,0
96684,14,0
26652,0,0
114426,22,0
34806,1,0
15669,0,0
118471,25,0
16962,0,0
58664,3,0
117479,24,0
61077,4,0
76116,8,0
4577,0,0
62336,4,0
89879,12,0
48641,2,2
96128,14,1
83523,10,0
66829,5,0
97775,15,0
52244,2,0
47739,2,0
17495,0,0
102396,17,17
116010,23,0
74972,7,1
17719,0,0
8700,0,0
120554,27,0
46056,1,1
44490,1,1
35370,1,0
47676,2,0
56007,3,0
40833,1,1
113304,21,0
123795,29,0
38307,1,1
116116,23,0
84450,10,0
13951,0,0
201,0,0
69264,6,0
86073,11,0
53666,2,0
109738,20,0
29869,0,0
63808,5,0
120356,26,1
47575,2,0
4939,0,0
75097,8,0
12551,0,0
7201,0,0
85034,10,1
46885,1,1
14831,0,0
45001,1,1
92188,13,0
84299,10,0
18107,0,0
89245,12,0
127,0,0
124967,30,0
3896,0,0
40037,1,1
38103,1,1
110180,20,0
15465,0,0
53275,2,0
109140,19,0
66666,5,0
102590,17,0
106007,18,0
43272,1,1
34953,1,1
3064,0,0
83894,10,0
107826,19,0
100730,16,0
103122,17,0
9590,0,0
57068,3,1
111219,20,0
44114,1,0
63764,5,0
124096,30,0
45088,1,1
51768,2,0
29474,0,0
65173,5,0
56595,3,1
31462,0,0
6980,0,0
72252,7,0
2502,0,0
58319,3,1
45403,1,1
98963,15,0
71475,7,0
97111,15,0
72507,7,0
112745,21,0
29531,0,0
59457,4,0
39755,1,1
108690,19,0
45989,1,1
99934,16,0
28977,0,0
76236,8,0
103519,17,0
19484,0,0
34615,1,0
80515,9,1
83699,10,0
54456,3,0
108784,19,0
79814,9,0
83431,10,10
3955,0,0
55722,3,0
73320,7,0
56353,3,0
39835,1,1
62892,4,0
14222,0,0
13041,0,0
2572,0,0
54864,3,0
74623,7,0
88362,11,0
48057,2,0
62797,4,0
35831,1,1
29417,0,0
55348,3,0
91363,12,0
41934,1,1
980,0,0
67134,6,0
69601,6,0
43301,1,1
94444,14,1
54602,3,0
7879,0,0
124706,30,0
89371,12,0
11212,0,0
94264,13,1
57617,3,0
30217,0,0
67128,6,0
98507,15,0
37691,1,1
4404,0,0
674,0,0
4656,0,0
78317,8,0
99529,15,0
53234,2,0
2891,0,0
59981,4,0
96442,14,0
121622,27,0
103326,17,1
46862,1,0
94882,14,0
60767,4,0
70489,6,1
9410,0,0
82260,9,0
82417,9,0
8579,0,0
37286,1,0
49091,2,0
83228,10,1
117721,24,0
45880,1,1
36658,1,1
107910,19,0
55086,3,1
70299,6,0
44753,1,1
89347,12,0
66383,5,0
112411,21,0
111787,21,0
11897,0,0
58158,3,0
64294,5,0
100113,16,0
37053,1,1
115093,23,0
84424,10,1
34270,1,1
31640,0,0
99549,15,0
58429,3,3
5614,0,0
30886,0,0
53313,2,0
74059,7,0
59425,4,0
1472,0,0
75092,8,1
51325,2,0
9631,0,0
49363,2,2
35683,1,1
101792,16,0
68671,6,5
5996,0,0
66570,5,0
113203,21,0
7164,0,0
226,0,0
105665,18,0
26002,0,0
90905,12,0
78098,8,0
90379,12,0
31731,0,0
6048,0,0
79816,9,0
54107,3,0
15478,0,0
8008,0,0
83917,10,0
12601,0,0
15346,0,0
121325,27,0
70142,6,0
56191,3,0
72543,7,0
74775,7,0
50194,2,0
78983,9,0
62640,4,0
86460,11,0
83571,10,0
117743,24,0
119141,25,0
46186,1,1
29353,0,0
69949,6,0
116197,23,0
84073,10,0
59947,4,0
124867,30,0
115749,23,0
69589,6,1
31241,0,0
44599,1,0
886,0,0
67236,6,0
66659,5,0
86084,11,0
69301,6,0
81328,9,0
40061,1,1
84456,10,0
10883,0,0
85138,10,0
90813,12,0
107474,19,0
15990,0,0
7623,0,1
30874,0,0
55995,3,0
82414,9,0
68988,6,1
41479,1,1
102289,17,0
106817,18,0
17293,0,0
113850,22,0
98432,15,0
74093,7,0
70622,6,0
5772,0,0
10120,0,0
40171,1,0
33873,1,1
75865,8,0
57686,3,1
87357,11,0
30356,0,0
28825,0,0
120102,26,0
40895,1,0
43134,1,0
94980,14,0
25709,0,0
2683,0,0
33869,1,0
804,0,0
39665,1,1
103713,17,0
100130,16,0
70860,6,1
35875,1,0
105377,18,0
105636,18,0
67605,6,1
66898,5,0
99807,16,0
118253,25,0
13659,0,0
5789,0,0
115319,23,0
632,0,0
47992,2,1
41727,1,1
29762,0,0
40203,1,0
15415,0,0
12783,0,0
21054,0,0
49991,2,0
66925,5,0
42067,1,1
54630,3,0
13585,0,0
41344,1,0
78449,8,0
22915,0,0
68277,6,0
13912,0,0
63817,5,0
18136,0,0
47868,2,0
50856,2,0
646,0,0
100189,16,0
76753,8,1
59250,4,0
24572,0,0
39444,1,1
1043,0,0
98734,15,0
1176,0,0
74835,7,0
24824,0,0
118055,25,0
59678,4,0
72548,7,0
18694,0,0
83875,10,0
4118,0,0
114847,22,0
32586,0,0
106352,18,0
28105,0,0
91880,13,0
97689,15,0
76191,8,1
40101,1,1
99793,16,0
81592,9,0
61000,4,0
8449,0,0
113263,21,0
89748,12,0
62367,4,0
124267,30,0
123907,29,0
43171,1,0
38976,1,1
73912,7,0
112928,21,0
41657,1,1
69850,6,0
28009,0,0
53571,2,0
122653,28,0
88341,11,0
44395,1,0
62608,4,0
66032,5,0
60025,4,0
61650,4,0
17471,0,0
28256,0,0
19516,0,0
122127,28,0
54141,3,1
34342,1,0
37791,1,1
119705,26,0
60331,4,0
36770,1,1
94556,14,0
47463,2,0
66364,5,0
103066,17,0
79559,9,0
8676,0,0
6363,0,0
101877,16,0
43488,1,1
61067,4,0
124498,30,0
20371,0,0
18952,0,0
112068,21,2
15635,0,0
78450,8,0
35452,1,1
12847,0,0
104100,17,0
110142,20,0
106407,18,1
54696,3,0
15891,0,0
33396,1,1
23764,0,0
67767,6,0
61961,4,0
14949,0,0
105233,18,0
33192,1,1
81123,9,0
28980,0,0
90939,12,0
56484,3,3
96300,14,0
97833,15,0
40060,1,0
38137,1,0
83082,10,0
92332,13,0
100747,16,0
96807,14,0
30768,0,0
105775,18,0
62879,4,0
27379,0,0
118241,25,0
66910,5,0
122664,28,0
50266,2,0
36450,1,0
79340,9,0
75643,8,1
119658,26,1
74267,7,0
88871,11,0
102801,17,0
110908,20,0
122924,29,0
120422,26,0
95124,14,0
15294,0,0
109552,20,0
64452,5,0
19936,0,0
39036,1,1
96902,14,0
18102,0,0
73574,7,0
19384,0,0
104629,17,0
22858,0,0
112611,21,0
109774,20,0
46457,1,1
93121,13,0
113800,22,0
122405,28,0
35478,1,0
91822,13,0
17520,0,0
120712,27,0
17496,0,0
109315,20,0
55484,3,0
53980,3,0
38995,1,0
62706,4,0
95483,14,1
4293,0,0
27660,0,0
73859,7,0
17415,0,0
68030,6,1
18880,0,0
59157,4,0
74605,7,0
14336,0,0
103195,17,1
68239,6,0
55081,3,0
2231,0,0
112546,21,0
2532,0,0
71529,7,1
83426,10,0
73751,7,0
55224,3,1
80487,9,0
65872,5,0
80995,9,0
9482,0,0
87021,11,0
122770,28,1
10032,0,0
120486,27,0
68286,6,0
19964,0,0
3245,0,0
44915,1,1
48678,2,0
110653,20,0
42258,1,0
72423,7,0
51849,2,0
7864,0,0
35508,1,1
85252,10,0
27070,0,0
104420,17,1
33293,1,0
97534,15,0
73371,7,0
82118,9,0
93745,13,0
27741,0,0
87683,11,0
9709,0,0
101362,16,0
114408,22,0
93251,13,0
13756,0,0
31141,0,0
77335,8,0
113901,22,0
79820,9,0
101399,16,0
88809,11,0
85876,10,1
99629,15,0
12600,0,0
61746,4,0
15881,0,0
29226,0,0
22851,0,0
46544,1,1
28509,0,0
34257,1,1
96860,14,0
105448,18,0
90252,12,0
51394,2,2
35761,1,0
76766,8,0
82491,9,0
60407,4,0
74957,7,0
114113,22,0
75894,8,0
123417,29,1
107976,19,0
67544,6,0
61548,4,0
34957,1,1
38093,1,1
85268,10,1
95877,14,0
60567,4,0
62928,4,0
102767,17,0
32301,0,0
54398,3,0
69849,6,0
120349,26,1
77304,8,0
100617,16,0
12650,0,0
115275,23,1
41027,1,1
94199,13,0
77768,8,0
78324,8,0
122140,28,0
47923,2,0
11699,0,0
101943,16,0
18686,0,0
2071,0,0
107429,19,0
44123,1,0
86042,10,0
59146,4,0
85996,10,0
109526,20,1
124010,30,0
70165,6,0
41752,1,1
75027,7,0
27263,0,0
87572,11,0
100751,16,0
50905,2,0
48337,2,2
13035,0,0
97389,15,0
91584,12,0
26767,0,0
85290,10,0
105803,18,0
101395,16,0
13557,0,0
74098,7,0
27895,0,0
413,0,0
59373,4,0
79639,9,9
97902,15,0
69140,6,0
16789,0,0
88784,11,0
118777,25,0
119215,26,1
62454,4,0
52427,2,0
470,0,0
93369,13,0
50134,2,0
35703,1,1
117176,24,1
45492,1,1
68218,6,0
120815,27,0
84919,10,0
10672,0,0
69149,6,0
75013,7,0
47781,2,1
59071,4,0
48491,2,0
64730,5,0
93061,13,1
123134,29,1
71585,7,1
87088,11,0
66974,5,0
121389,27,0
65616,5,0
60668,4,0
34652,1,1
20205,0,0
73952,7,0
101618,16,0
38473,1,0
575,0,0
13645,0,0
18396,0,0
100307,16,0
76402,8,1
100491,16,0
7320,0,0
82657,10,0
13433,0,0
73232,7,0
121841,28,0
77727,8,0
72457,7,1
55899,3,0
47125,2,0
43797,1,1
58678,3,0
47033,2,0
14529,0,0
65712,5,0
28086,0,0
87761,11,0
70157,6,0
92456,13,0
22835,0,0
114331,22,0
49564,2,0
56885,3,0
120041,26,0
89414,12,0
100015,16,0
110421,20,0
37887,1,0
44177,1,0
76315,8,5
23369,0,0
55518,3,0
43396,1,1
82401,9,0
116396,24,0
75155,8,0
108338,19,0
10039,0,0
55028,3,0
76496,8,0
44951,1,1
67366,6,1
121361,27,0
32787,1,0
54258,3,0
111966,21,0
98008,15,0
106051,18,1
49166,2,0
100763,16,0
115257,23,0
7395,0,0
98207,15,0
38125,1,0
61546,4,0
49880,2,0
77636,8,0
35346,1,1
8506,0,0
9636,0,0
75770,8,1
73534,7,0
80555,9,0
5346,0,0
24929,0,0
56716,3,0
27233,0,0
61403,4,0
76333,8,1
114810,22,1
105435,18,1
82695,10,0
11931,0,0
106577,18,0
58030,3,1
300,0,0
121251,27,0
121302,27,0
18965,0,0
119268,26,0
17954,0,0
103730,17,0
63812,5,0
51762,2,0
97893,15,0
37330,1,0
114900,22,0
97329,15,0
46616,1,1
26550,0,0
3580,0,0
67736,6,0
77494,8,1
6177,0,0
51521,2,0
19354,0,0
28852,0,0
103372,17,0
18994,0,0
102712,17,0
91243,12,0
40125,1,1
8033,0,0
60266,4,0
83188,10,0
117855,25,0
36810,1,1
16379,0,0
88026,11,0
57595,3,0
31053,0,0
28171,0,0
91978,13,0
77457,8,0
31776,0,0
18116,0,0
11459,0,0
39783,1,1
115177,23,0
121152,27,0
54095,3,0
49995,2,0
76933,8,1
89501,12,0
61766,4,0
41510,1,1
35818,1,1
38854,1,1
73397,7,0
92214,13,1
72136,7,0
84628,10,0
50059,2,2
73342,7,0
36755,1,1
7326,0,0
124202,30,0
34879,1,1
123767,29,0
58454,3,0
53052,2,0
56482,3,0
120122,26,0
27311,0,0
19368,0,0
24079,0,0
12786,0,0
72362,7,0
36635,1,1
97278,15,0
24786,0,0
55010,3,0
38869,1,1
90471,12,0
78020,8,0
84602,10,0
87553,11,0
30162,0,0
10085,0,0
60076,4,0
93866,13,0
4645,0,0
109210,19,0
21350,0,0
72366,7,0
43847,1,1
121891,28,0
42426,1,1
89141,12,0
40008,1,0
119677,26,1
30046,0,0
51751,2,1
112461,21,0
86768,11,0
31071,0,0
53963,3,0
102670,17,0
55343,3,1
31470,0,0
26373,0,0
43883,1,1
