,true_labels,predicted_labels
49935,2,2
71684,7,7
69606,6,1
105408,18,8
120985,27,16
93599,13,7
8525,0,0
4472,0,0
33964,1,8
38849,1,1
112922,21,21
14185,0,0
78447,8,0
9991,0,0
121140,27,24
12742,0,0
6552,0,0
91739,12,11
36234,1,1
66832,5,5
77617,8,8
59073,4,10
49450,2,16
49551,2,13
114583,22,22
10890,0,0
94137,13,21
51019,2,2
41383,1,1
104210,17,20
52304,2,2
122726,28,14
93577,13,13
64620,5,0
114142,22,8
9518,0,0
10825,0,0
88392,11,18
105578,18,1
55738,3,3
12804,0,14
113919,22,23
10912,0,0
35926,1,1
73712,7,15
92824,13,20
99465,15,15
14224,0,0
65127,5,5
59128,4,2
102319,17,2
97121,15,16
100671,16,16
105189,18,14
110228,20,16
82577,10,10
103034,17,17
23817,0,0
28710,0,0
39693,1,1
22422,0,0
57507,3,3
64271,5,5
51228,2,2
81248,9,5
10064,0,0
46719,1,1
79705,9,9
29525,0,0
8875,0,0
108692,19,0
83451,10,1
95580,14,0
54172,3,3
8760,0,0
93514,13,11
76800,8,5
85881,10,8
83209,10,2
20362,0,2
2893,0,0
103735,17,3
8703,0,0
99903,16,17
550,0,0
5059,0,0
6184,0,14
21138,0,28
28078,0,0
101421,16,9
78392,8,8
80962,9,9
67972,6,6
36990,1,6
55053,3,3
43029,1,0
21142,0,0
8286,0,0
73395,7,8
4906,0,0
81819,9,12
86212,11,11
112179,21,21
69175,6,6
123918,29,0
86960,11,14
69553,6,6
97234,15,14
83929,10,4
3509,0,0
3923,0,0
8917,0,0
17444,0,0
55216,3,3
19915,0,0
110619,20,8
18159,0,0
5979,0,0
52456,2,2
61214,4,2
58463,3,3
84969,10,10
2037,0,0
50410,2,2
39780,1,0
109719,20,18
81510,9,9
40930,1,0
19957,0,0
93241,13,11
118300,25,13
108555,19,9
100238,16,0
75941,8,11
99039,15,4
22192,0,0
88923,11,11
97067,15,0
52583,2,2
96358,14,0
81373,9,0
33347,1,0
77689,8,1
18321,0,0
77507,8,1
25543,0,0
7863,0,0
78925,9,9
90796,12,0
92517,13,20
7132,0,0
123177,29,1
84206,10,10
82878,10,10
17613,0,0
57341,3,15
106222,18,2
42263,1,7
121287,27,0
87334,11,0
25689,0,0
117741,24,24
52315,2,2
103541,17,0
5884,0,0
82376,9,16
11168,0,0
31467,0,0
106330,18,18
113142,21,5
95034,14,30
101571,16,0
91397,12,12
90929,12,9
66694,5,5
29170,0,0
7168,0,0
114888,22,22
122204,28,28
3733,0,11
57892,3,1
90044,12,7
29626,0,0
94532,14,20
20717,0,16
101836,16,16
108270,19,9
68583,6,10
118284,25,13
15663,0,4
113625,22,21
108387,19,16
62764,4,10
44422,1,1
78400,8,8
114984,23,7
81794,9,9
61043,4,2
16598,0,0
118419,25,7
24147,0,0
40386,1,5
10644,0,0
33168,1,1
378,0,0
61183,4,16
28072,0,0
18881,0,0
87147,11,0
40997,1,1
41390,1,1
57319,3,3
6848,0,14
61688,4,4
120672,27,7
970,0,0
36298,1,1
93212,13,1
8350,0,0
14657,0,0
58733,4,17
56897,3,14
33222,1,1
3903,0,0
113818,22,24
28406,0,0
2040,0,0
96508,14,16
75844,8,8
121175,27,22
68287,6,13
81194,9,9
29246,0,0
92232,13,13
69629,6,6
57156,3,3
76410,8,8
2029,0,0
69293,6,24
113897,22,2
23850,0,0
23623,0,0
87257,11,1
20248,0,4
91089,12,12
34194,1,13
38974,1,1
14843,0,0
55497,3,3
48549,2,2
46704,1,1
15435,0,2
109889,20,20
57831,3,3
39930,1,0
107713,19,9
16133,0,0
60812,4,4
41422,1,1
28951,0,0
103213,17,17
19626,0,4
45690,1,1
16680,0,0
47134,2,18
119930,26,24
122492,28,2
6448,0,8
112981,21,21
4790,0,0
50347,2,2
33018,1,1
68123,6,1
77825,8,8
103840,17,17
58356,3,8
72895,7,1
55887,3,3
60017,4,4
107993,19,12
107768,19,16
65530,5,5
11987,0,0
28864,0,0
101107,16,9
88781,11,13
112344,21,21
73441,7,7
82252,9,11
120466,26,24
59769,4,4
59958,4,4
39554,1,0
18154,0,0
