,true_labels,predicted_labels
49935,2,2
71684,7,7
69606,6,1
105408,18,18
120985,27,27
93599,13,13
8525,0,0
4472,0,0
33964,1,8
38849,1,1
112922,21,21
14185,0,0
78447,8,8
9991,0,0
121140,27,27
12742,0,0
6552,0,0
91739,12,12
36234,1,1
66832,5,5
77617,8,8
59073,4,4
49450,2,2
49551,2,2
114583,22,22
10890,0,0
94137,13,13
51019,2,2
41383,1,1
104210,17,17
52304,2,2
122726,28,28
93577,13,13
64620,5,5
114142,22,22
9518,0,0
10825,0,0
88392,11,11
105578,18,1
55738,3,3
12804,0,0
113919,22,22
10912,0,0
35926,1,1
73712,7,7
92824,13,13
99465,15,15
14224,0,0
65127,5,5
59128,4,2
102319,17,17
97121,15,15
100671,16,16
105189,18,18
110228,20,20
82577,10,10
103034,17,17
23817,0,0
28710,0,0
39693,1,1
22422,0,0
57507,3,3
64271,5,5
51228,2,2
81248,9,9
10064,0,0
46719,1,1
79705,9,9
29525,0,0
8875,0,0
108692,19,0
83451,10,1
95580,14,14
54172,3,3
8760,0,10
93514,13,13
76800,8,8
85881,10,10
83209,10,10
20362,0,2
2893,0,0
103735,17,17
8703,0,0
99903,16,16
550,0,0
5059,0,0
6184,0,0
21138,0,0
28078,0,0
101421,16,16
78392,8,8
80962,9,9
67972,6,6
36990,1,1
55053,3,3
43029,1,1
21142,0,0
8286,0,0
73395,7,7
4906,0,0
81819,9,9
86212,11,11
112179,21,21
69175,6,6
123918,29,29
86960,11,11
69553,6,6
97234,15,15
83929,10,10
3509,0,0
3923,0,0
8917,0,0
17444,0,0
55216,3,3
19915,0,0
110619,20,20
18159,0,0
5979,0,0
52456,2,2
61214,4,4
58463,3,3
84969,10,10
2037,0,0
50410,2,2
39780,1,0
109719,20,20
81510,9,9
40930,1,0
19957,0,0
93241,13,13
118300,25,25
108555,19,19
100238,16,0
75941,8,8
99039,15,15
22192,0,0
88923,11,11
97067,15,15
52583,2,2
96358,14,14
81373,9,0
33347,1,0
77689,8,8
18321,0,0
77507,8,8
25543,0,0
7863,0,0
78925,9,9
90796,12,12
92517,13,13
7132,0,0
123177,29,29
84206,10,10
82878,10,10
17613,0,0
57341,3,3
106222,18,18
42263,1,1
121287,27,27
87334,11,11
25689,0,0
117741,24,24
52315,2,2
103541,17,17
5884,0,0
82376,9,9
11168,0,0
31467,0,0
106330,18,18
113142,21,21
95034,14,14
101571,16,0
91397,12,12
90929,12,19
66694,5,5
29170,0,0
7168,0,0
114888,22,24
122204,28,28
3733,0,0
57892,3,3
90044,12,15
29626,0,0
94532,14,14
20717,0,0
101836,16,16
108270,19,19
68583,6,6
118284,25,25
15663,0,0
113625,22,22
108387,19,0
62764,4,10
44422,1,1
78400,8,8
114984,23,23
81794,9,9
61043,4,2
16598,0,0
118419,25,25
24147,0,0
40386,1,1
10644,0,0
33168,1,1
378,0,0
61183,4,4
28072,0,0
18881,0,0
87147,11,11
40997,1,1
41390,1,1
57319,3,3
6848,0,0
61688,4,4
120672,27,27
970,0,0
36298,1,1
93212,13,13
8350,0,0
14657,0,0
58733,4,15
56897,3,3
33222,1,1
3903,0,0
113818,22,22
28406,0,0
2040,0,0
96508,14,14
75844,8,8
121175,27,27
68287,6,6
81194,9,9
29246,0,0
92232,13,13
69629,6,6
57156,3,3
76410,8,8
2029,0,0
69293,6,6
113897,22,22
23850,0,0
23623,0,0
87257,11,11
20248,0,4
91089,12,12
34194,1,14
38974,1,1
14843,0,0
55497,3,3
48549,2,2
46704,1,1
15435,0,4
109889,20,20
57831,3,3
39930,1,1
107713,19,19
16133,0,0
60812,4,4
41422,1,1
28951,0,0
103213,17,17
19626,0,0
45690,1,1
16680,0,0
47134,2,2
119930,26,26
122492,28,2
6448,0,0
112981,21,21
4790,0,0
50347,2,2
33018,1,1
68123,6,6
77825,8,8
103840,17,17
58356,3,3
72895,7,7
55887,3,3
60017,4,4
107993,19,19
107768,19,19
65530,5,5
11987,0,0
28864,0,0
101107,16,16
88781,11,11
112344,21,21
73441,7,7
82252,9,9
120466,26,26
59769,4,4
59958,4,4
39554,1,1
18154,0,0
